time,dipole
7.125000000000067502e+00,-5.020825600862637295e-01
7.150000000000067857e+00,-5.000554752683017412e-01
7.175000000000068212e+00,-4.980177450070912282e-01
7.200000000000068567e+00,-4.959715385070300186e-01
7.225000000000068923e+00,-4.939185225179006933e-01
7.250000000000069278e+00,-4.918596122409397697e-01
7.275000000000069633e+00,-4.897945370890159911e-01
7.300000000000069988e+00,-4.877215862964363602e-01
7.325000000000070344e+00,-4.856378830107120903e-01
7.350000000000070699e+00,-4.835400739750836951e-01
7.375000000000071054e+00,-4.814245212204869007e-01
7.400000000000071410e+00,-4.792876826616739860e-01
7.425000000000071765e+00,-4.771264756339357316e-01
7.450000000000072120e+00,-4.749384830428114990e-01
7.475000000000072475e+00,-4.727219836197927294e-01
7.500000000000072831e+00,-4.704761990828211227e-01
7.525000000000073186e+00,-4.682017554867941023e-01
7.550000000000073541e+00,-4.659006764686849378e-01
7.575000000000073896e+00,-4.635753950828551684e-01
7.600000000000074252e+00,-4.612272025046462165e-01
7.625000000000074607e+00,-4.588552471258346421e-01
7.650000000000074962e+00,-4.564566818192665187e-01
7.675000000000075318e+00,-4.540278096532374130e-01
7.700000000000075673e+00,-4.515656918503164752e-01
7.725000000000076028e+00,-4.490695522482062718e-01
7.750000000000076383e+00,-4.465410781028684162e-01
7.775000000000076739e+00,-4.439834939061020336e-01
7.800000000000077094e+00,-4.414002504395214133e-01
7.825000000000077449e+00,-4.387940758967495691e-01
7.850000000000077804e+00,-4.361667296975555441e-01
7.875000000000078160e+00,-4.335190156383851301e-01
7.900000000000078515e+00,-4.308510013292848884e-01
7.925000000000078870e+00,-4.281624449462855808e-01
7.950000000000079226e+00,-4.254532897072810238e-01
7.975000000000079581e+00,-4.227236737427249591e-01
8.000000000000079936e+00,-4.199734683996729778e-01
8.025000000000078515e+00,-4.172017683023597212e-01
8.050000000000077094e+00,-4.144067253784318727e-01
8.075000000000075673e+00,-4.115857428517796235e-01
8.100000000000074252e+00,-4.087358991130979335e-01
8.125000000000072831e+00,-4.058545024427075987e-01
8.150000000000071410e+00,-4.029398206852904396e-01
8.175000000000069988e+00,-3.999916211650069719e-01
8.200000000000068567e+00,-3.970112669354471935e-01
8.225000000000067146e+00,-3.940014613419857148e-01
8.250000000000065725e+00,-3.909657365633325554e-01
8.275000000000064304e+00,-3.879077290141658696e-01
8.300000000000062883e+00,-3.848305739790542912e-01
8.325000000000061462e+00,-3.817366685758778466e-01
8.350000000000060041e+00,-3.786274777556272175e-01
8.375000000000058620e+00,-3.755034015548145421e-01
8.400000000000057199e+00,-3.723639478233069511e-01
8.425000000000055778e+00,-3.692083305097486612e-01
8.450000000000054357e+00,-3.660363145051849232e-01
8.475000000000052935e+00,-3.628479408346373392e-01
8.500000000000051514e+00,-3.596431576146920106e-01
8.525000000000050093e+00,-3.564214449694033671e-01
8.550000000000048672e+00,-3.531817299017379064e-01
8.575000000000047251e+00,-3.499228135982346832e-01
8.600000000000045830e+00,-3.466432321945050465e-01
8.625000000000044409e+00,-3.433412631799980241e-01
8.650000000000042988e+00,-3.400147901614026802e-01
8.675000000000041567e+00,-3.366614574079261901e-01
8.700000000000040146e+00,-3.332792866993294911e-01
8.725000000000038725e+00,-3.298673329919150632e-01
8.750000000000037303e+00,-3.264255124150780563e-01
8.775000000000035882e+00,-3.229541054964434332e-01
8.800000000000034461e+00,-3.194538810874480994e-01
8.825000000000033040e+00,-3.159258353586090751e-01
8.850000000000031619e+00,-3.123713034105021213e-01
8.875000000000030198e+00,-3.087912340079597140e-01
8.900000000000028777e+00,-3.051856436503068148e-01
8.925000000000027356e+00,-3.015534024965582649e-01
8.950000000000025935e+00,-2.978921068921298598e-01
8.975000000000024514e+00,-2.941988156514975250e-01
9.000000000000023093e+00,-2.904705780646331670e-01
9.025000000000021672e+00,-2.867046054656834375e-01
9.050000000000020250e+00,-2.828984902651021649e-01
9.075000000000018829e+00,-2.790505897945882441e-01
9.100000000000017408e+00,-2.751603427455319162e-01
9.125000000000015987e+00,-2.712282675303774315e-01
9.150000000000014566e+00,-2.672555195702934761e-01
9.175000000000013145e+00,-2.632430376257731131e-01
9.200000000000011724e+00,-2.591910525806207510e-01
9.225000000000010303e+00,-2.550988454469251820e-01
9.250000000000008882e+00,-2.509653556444108591e-01
9.275000000000007461e+00,-2.467896517411378721e-01
9.300000000000006040e+00,-2.425711948739119883e-01
9.325000000000004619e+00,-2.383098361273148780e-01
9.350000000000003197e+00,-2.340054296212240592e-01
9.375000000000001776e+00,-2.296574955091880699e-01
9.400000000000000355e+00,-2.252653654407086870e-01
9.424999999999998934e+00,-2.208286707537811255e-01
9.449999999999997513e+00,-2.163476685361380714e-01
9.474999999999996092e+00,-2.118232842645890734e-01
